t,x,y,z,u,v,w,x_dot,y_dot,z_dot,u_dot,v_dot,w_dot
7.213,0.726100736963704,-2.429110196060556,16.48294156888637,44.40514967481878,-4.360413723248995,85.26650595759409,12.85304034457618,15.152068533795198,-45.71883898527491,-4.366268248766524,-7.287330588181668,-120.73757212824921
5.4785,0.9826886054471153,5.201209579332349,10.364279018146789,-31.423598913305995,-9.024739923171252,-39.640372335437945,10.761610825546342,21.15395240155067,-22.527253469539758,-22.483188398752354,15.603628737997045,70.72077646254189
7.414000000000001,5.507630805411891,6.631903165178047,10.732336308409439,34.81993657469379,-3.8576253801397815,52.67148009277476,46.06266017235535,92.32963870025831,7.906152937407782,-105.99575170818963,19.895709495534142,-153.01553137064758
2.701,5.4439803333567856,-4.530358632290543,16.452702815508214,169.13527163922566,-44.256472604940626,339.65364620303257,69.39188198275238,111.65009001303063,-68.53760589535862,-94.59862741447711,-13.59107589687163,-613.8041021298909
5.2515,-0.8567020788344495,3.1336269329014077,18.680968809726394,-26.23615040640863,-11.616542045526458,-59.9485411040961,13.667139710949943,0.49928171919457753,-52.50112423260563,-32.30303658844116,9.400880798704224,109.36870361155093
1.6280000000000001,-1.430112681744565,-8.705471524036712,15.134545142409921,74.52153552007272,-3.813329273758018,119.05941644886416,1.76794709715125,-5.880249350457062,-27.90948630417345,57.231816246424984,-26.116414572110138,-62.744621078396676
1.764,-1.3309938830018653,-9.393973701166246,11.936133065354062,80.48519899135266,-7.512191534459577,106.77576782360232,-0.14459919029114587,-4.474743391743848,-19.326764512047014,31.642521118204243,-28.181921103498738,-107.07563328373726
4.9085,-16.354756956414203,-16.361809681569788,24.465416734294116,-64.2049172384342,-9.332494253789836,-158.5102690118875,-64.27544448999006,-32.11294631746888,202.35149390383663,464.5034096252472,-49.085429044709365,14.302633489717664
5.704,7.671725253850907,17.955897744559348,13.707980005604126,-46.4106142498403,-2.2550257789277546,-40.968681756308484,56.43111065724411,93.94357875391732,101.19764390155595,-199.72847301525147,53.86769323367804,-226.50895462153193
4.686,-7.6385631752287235,5.944032180021551,19.329206434767492,-103.41341869856772,-6.191664434776103,-281.59155669453736,32.412534853935014,-65.98477217264066,-96.94906012228161,-11.480006363969892,17.832096540064654,817.0162487957134
9.336,-4.940929864564986,-6.680530456375816,15.657447003527551,-9.552527886029258,0.24636928648592496,-33.440910840836786,-26.94853380413756,-54.549527535356894,-8.745681481263695,114.15257946218532,-20.04159136912745,184.84090928314566
6.2115,-12.842753298777435,-6.970543749397215,18.15582851983084,-132.75403083569267,12.92270033144892,-314.276760501716,-74.03193534189047,-132.3784223327249,41.1048258180106,259.31002783972724,-20.911631248191643,732.5081858479884
2.761,10.40244752877201,4.339724366828178,14.071081879141516,159.75894200595533,-44.34092368883821,296.1625303100166,99.13171038651701,184.89603920680202,7.6204009681567655,-220.8235589045002,13.019173100484533,-713.6441492093477
9.287,-3.797521150797576,-4.367121307578322,16.58043896650223,-14.432268182594072,1.0496413092795618,-42.51518559402318,-20.128269750401532,-40.04854455923286,-27.630821058344054,86.84105648220785,-13.101363922734965,185.85851419053878
1.735,-1.331732926154149,-9.26185433993056,12.521580459986765,79.49844551427682,-6.70062598714446,109.82474127194567,0.19723137651271827,-4.650640619188363,-21.056982230917477,36.47460881184129,-27.78556301979168,-102.80123076856546
